sao paulo,SP,2107960.17000002
rio de janeiro,RJ,1111732.21
belo horizonte,MG,405950.51
brasilia,DF,345199.05
curitiba,PR,238459.72
porto alegre,RS,214805.84
campinas,SP,209002.9
salvador,BA,207713.3
guarulhos,SP,157735.65
niteroi,RJ,135447.96
